frame_id,timestamp,raw_steer,raw_thr,final_steer,final_thr,act_steer,act_thr,lane_detected,n_objects,scenario
2,1775827506.0062,+0.00520,0.03299,+0.00520,0.01155,+0.00520,0.01155,1,0,0
3,1775827506.1568,+0.00501,0.04348,+0.00501,0.01522,+0.00501,0.01522,1,0,0
4,1775827506.3396,+0.00551,0.04632,+0.00551,0.01621,+0.00551,0.01621,1,0,0
5,1775827506.4797,+0.00512,0.04796,+0.00512,0.01678,+0.00512,0.01678,1,0,0
6,1775827506.6702,+0.00559,0.04705,+0.00559,0.01647,+0.00559,0.01647,1,0,0
7,1775827506.8242,+0.00455,0.04848,+0.00455,0.01697,+0.00455,0.01697,1,0,0
8,1775827506.9809,+0.00550,0.04641,+0.00550,0.01625,+0.00550,0.01625,1,0,0
9,1775827507.1215,+0.00562,0.04590,+0.00562,0.01607,+0.00562,0.01607,1,0,0
10,1775827507.2481,+0.00566,0.04591,+0.00566,0.01607,+0.00566,0.01607,1,0,0
11,1775827507.4008,+0.00597,0.04504,+0.00597,0.01577,+0.00597,0.01577,1,0,0
12,1775827507.5198,+0.00614,0.04390,+0.00614,0.01537,+0.00614,0.01537,1,0,0
13,1775827507.6818,+0.00537,0.04440,+0.00537,0.01554,+0.00537,0.01554,1,0,0
14,1775827507.8161,+0.00578,0.04520,+0.00578,0.01582,+0.00578,0.01582,1,0,0
15,1775827508.0233,+0.00523,0.04595,+0.00523,0.01608,+0.00523,0.01608,1,0,0
16,1775827508.1961,+0.00514,0.04675,+0.00514,0.01636,+0.00514,0.01636,1,0,0
17,1775827508.3797,+0.00593,0.04530,+0.00593,0.01586,+0.00593,0.01586,1,0,0
18,1775827508.5201,+0.00554,0.04610,+0.00554,0.01614,+0.00554,0.01614,1,0,0
19,1775827508.6407,+0.00602,0.04523,+0.00602,0.01583,+0.00602,0.01583,1,0,0
20,1775827508.7653,+0.00557,0.04544,+0.00557,0.01590,+0.00557,0.01590,1,0,0
21,1775827508.8838,+0.00564,0.04632,+0.00564,0.01621,+0.00564,0.01621,1,0,0
22,1775827509.0087,+0.00568,0.04616,+0.00568,0.01616,+0.00568,0.01616,1,0,0
23,1775827509.1315,+0.00609,0.04554,+0.00609,0.01594,+0.00609,0.01594,1,0,0
24,1775827509.2469,+0.00587,0.04508,+0.00587,0.01578,+0.00587,0.01578,1,0,0
25,1775827509.3673,+0.00605,0.04444,+0.00605,0.01555,+0.00605,0.01555,1,0,0
26,1775827509.4888,+0.00585,0.04471,+0.00585,0.01565,+0.00585,0.01565,1,0,0
27,1775827509.6055,+0.00615,0.04374,+0.00615,0.01531,+0.00615,0.01531,1,0,0
28,1775827509.7582,+0.00563,0.04560,+0.00563,0.01596,+0.00563,0.01596,1,0,0
29,1775827509.8694,+0.00577,0.04601,+0.00577,0.01610,+0.00577,0.01610,1,0,0
30,1775827510.0286,+0.00516,0.04727,+0.00516,0.01654,+0.00516,0.01654,1,0,0
31,1775827510.1926,+0.00539,0.04735,+0.00539,0.01657,+0.00539,0.01657,1,0,0
32,1775827510.3451,+0.00531,0.04690,+0.00531,0.01641,+0.00531,0.01641,1,0,0
33,1775827510.4844,+0.00502,0.04817,+0.00502,0.01686,+0.00502,0.01686,1,0,0
34,1775827510.6198,+0.00506,0.04821,+0.00506,0.01687,+0.00506,0.01687,1,0,0
35,1775827510.7422,+0.00559,0.04701,+0.00559,0.01645,+0.00559,0.01645,1,0,0
36,1775827510.8915,+0.00574,0.04648,+0.00574,0.01627,+0.00574,0.01627,1,0,0
37,1775827511.0040,+0.00643,0.04486,+0.00643,0.01570,+0.00643,0.01570,1,0,0
38,1775827511.1472,+0.00554,0.04675,+0.00554,0.01636,+0.00554,0.01636,1,0,0
39,1775827511.3502,+0.00508,0.04792,+0.00508,0.01677,+0.00508,0.01677,1,0,0
40,1775827511.4682,+0.00584,0.04684,+0.00584,0.01640,+0.00584,0.01640,1,0,0
41,1775827511.5801,+0.00532,0.04765,+0.00532,0.01668,+0.00532,0.01668,1,0,0
42,1775827511.6849,+0.00560,0.04685,+0.00560,0.01640,+0.00560,0.01640,1,0,0
43,1775827511.8051,+0.00593,0.04627,+0.00593,0.01620,+0.00593,0.01620,1,0,0
44,1775827511.9093,+0.00540,0.04742,+0.00540,0.01660,+0.00540,0.01660,1,0,0
45,1775827512.0510,+0.00476,0.04900,+0.00476,0.01715,+0.00476,0.01715,1,0,0
46,1775827512.1746,+0.00547,0.04759,+0.00547,0.01666,+0.00547,0.01666,1,0,0
47,1775827512.2851,+0.00573,0.04688,+0.00573,0.01641,+0.00573,0.01641,1,0,0
48,1775827512.3926,+0.00533,0.04776,+0.00533,0.01671,+0.00533,0.01671,1,0,0
49,1775827512.5063,+0.00501,0.04825,+0.00501,0.01689,+0.00501,0.01689,1,0,0
50,1775827512.6198,+0.00487,0.04843,+0.00487,0.01695,+0.00487,0.01695,1,0,0
51,1775827512.8111,+0.00464,0.04944,+0.00464,0.01730,+0.00464,0.01730,1,0,0
52,1775827512.9578,+0.00507,0.04812,+0.00507,0.01684,+0.00507,0.01684,1,0,0
53,1775827513.1733,+0.00538,0.04769,+0.00538,0.01669,+0.00538,0.01669,1,0,0
54,1775827513.3091,+0.00586,0.04641,+0.00586,0.01624,+0.00586,0.01624,1,0,0
55,1775827513.4487,+0.00538,0.04733,+0.00538,0.01656,+0.00538,0.01656,1,0,0
56,1775827513.5969,+0.00553,0.04703,+0.00553,0.01646,+0.00553,0.01646,1,0,0
57,1775827513.7967,+0.00562,0.04661,+0.00562,0.01631,+0.00562,0.01631,1,0,0
58,1775827513.9156,+0.00525,0.04720,+0.00525,0.01652,+0.00525,0.01652,1,0,0
59,1775827514.0809,+0.00529,0.04756,+0.00529,0.01665,+0.00529,0.01665,1,0,0
60,1775827514.2132,+0.00503,0.04771,+0.00503,0.01670,+0.00503,0.01670,1,0,0
61,1775827514.3423,+0.00546,0.04681,+0.00546,0.01638,+0.00546,0.01638,1,0,0
62,1775827514.5238,+0.00595,0.04563,+0.00595,0.01597,+0.00595,0.01597,1,0,0
63,1775827514.6941,+0.00546,0.04673,+0.00546,0.01635,+0.00546,0.01635,1,0,0
64,1775827514.8268,+0.00572,0.04675,+0.00572,0.01636,+0.00572,0.01636,1,0,0
65,1775827515.0282,+0.00503,0.04826,+0.00503,0.01689,+0.00503,0.01689,1,0,0
66,1775827515.1799,+0.00551,0.04700,+0.00551,0.01645,+0.00551,0.01645,1,0,0
67,1775827515.3956,+0.00534,0.04741,+0.00534,0.01659,+0.00534,0.01659,1,0,0
68,1775827515.5646,+0.00616,0.04564,+0.00616,0.01597,+0.00616,0.01597,1,0,0
69,1775827515.7310,+0.00506,0.04744,+0.00506,0.01660,+0.00506,0.01660,1,0,0
70,1775827515.9038,+0.00483,0.04912,+0.00483,0.01719,+0.00483,0.01719,1,0,0
71,1775827516.0460,+0.00518,0.04832,+0.00518,0.01691,+0.00518,0.01691,1,0,0
72,1775827516.2399,+0.00520,0.04816,+0.00520,0.01686,+0.00520,0.01686,1,0,0
73,1775827516.4011,+0.00510,0.04831,+0.00510,0.01691,+0.00510,0.01691,1,0,0
74,1775827516.5190,+0.00458,0.04918,+0.00458,0.01721,+0.00458,0.01721,1,0,0
75,1775827516.6415,+0.00540,0.04795,+0.00540,0.01678,+0.00540,0.01678,1,0,0
76,1775827516.7637,+0.00497,0.04891,+0.00497,0.01712,+0.00497,0.01712,1,0,0
77,1775827516.8907,+0.00469,0.04937,+0.00469,0.01728,+0.00469,0.01728,1,0,0
78,1775827517.0225,+0.00481,0.04945,+0.00481,0.01731,+0.00481,0.01731,1,0,0
79,1775827517.1876,+0.00577,0.04711,+0.00577,0.01649,+0.00577,0.01649,1,0,0
80,1775827517.2977,+0.00492,0.04816,+0.00492,0.01686,+0.00492,0.01686,1,0,0
81,1775827517.4086,+0.00513,0.04810,+0.00513,0.01684,+0.00513,0.01684,1,0,0
82,1775827517.5223,+0.00473,0.04863,+0.00473,0.01702,+0.00473,0.01702,1,0,0
83,1775827517.7073,+0.00563,0.04700,+0.00563,0.01645,+0.00563,0.01645,1,0,0
84,1775827517.8519,+0.00535,0.04738,+0.00535,0.01658,+0.00535,0.01658,1,0,0
85,1775827517.9946,+0.00542,0.04750,+0.00542,0.01663,+0.00542,0.01663,1,0,0
86,1775827518.1400,+0.00565,0.04720,+0.00565,0.01652,+0.00565,0.01652,1,0,0
87,1775827518.2546,+0.00508,0.04849,+0.00508,0.01697,+0.00508,0.01697,1,0,0
88,1775827518.4123,+0.00461,0.04969,+0.00461,0.01739,+0.00461,0.01739,1,0,0
89,1775827518.5511,+0.00411,0.05058,+0.00411,0.01770,+0.00411,0.01770,1,0,0
90,1775827518.6806,+0.00523,0.04815,+0.00523,0.01685,+0.00523,0.01685,1,0,0
91,1775827518.7902,+0.00544,0.04733,+0.00544,0.01657,+0.00544,0.01657,1,0,0
92,1775827518.9350,+0.00555,0.04665,+0.00555,0.01633,+0.00555,0.01633,1,0,0
93,1775827519.0684,+0.00529,0.04780,+0.00529,0.01673,+0.00529,0.01673,1,0,0
94,1775827519.1777,+0.00462,0.04901,+0.00462,0.01715,+0.00462,0.01715,1,0,0
95,1775827519.3015,+0.00560,0.04735,+0.00560,0.01657,+0.00560,0.01657,1,0,0
96,1775827519.4718,+0.00592,0.04600,+0.00592,0.01610,+0.00592,0.01610,1,0,0
97,1775827519.5889,+0.00556,0.04630,+0.00556,0.01621,+0.00556,0.01621,1,0,0
98,1775827519.7573,+0.00580,0.04615,+0.00580,0.01615,+0.00580,0.01615,1,0,0
99,1775827519.8730,+0.00572,0.04647,+0.00572,0.01626,+0.00572,0.01626,1,0,0
100,1775827520.0604,+0.00567,0.04654,+0.00567,0.01629,+0.00567,0.01629,1,0,0
101,1775827520.1973,+0.00542,0.04700,+0.00542,0.01645,+0.00542,0.01645,1,0,0
102,1775827520.3423,+0.00531,0.04761,+0.00531,0.01666,+0.00531,0.01666,1,0,0
103,1775827520.4745,+0.00545,0.04699,+0.00545,0.01644,+0.00545,0.01644,1,0,0
104,1775827520.6030,+0.00569,0.04680,+0.00569,0.01638,+0.00569,0.01638,1,0,0
105,1775827520.7308,+0.00523,0.04754,+0.00523,0.01664,+0.00523,0.01664,1,0,0
106,1775827520.8592,+0.00501,0.04863,+0.00501,0.01702,+0.00501,0.01702,1,0,0
107,1775827521.0186,+0.00445,0.04987,+0.00445,0.01745,+0.00445,0.01745,1,0,0
