frame_id,timestamp,raw_steer,raw_thr,final_steer,final_thr,act_steer,act_thr,lane_detected,n_objects,scenario
66,1775827760.3108,-0.04045,0.99780,-0.04045,0.34923,-0.04045,0.34923,1,0,0
67,1775827760.4335,-0.01848,0.99879,-0.01848,0.34958,-0.01848,0.34958,1,0,0
68,1775827760.5601,-0.00087,0.99811,-0.00087,0.34934,-0.00087,0.34934,1,0,0
69,1775827760.6819,+0.01664,0.99799,+0.01664,0.34930,+0.01664,0.34930,1,0,0
70,1775827760.8096,+0.05600,0.99811,+0.05600,0.34934,+0.05600,0.34934,1,0,0
71,1775827760.9196,+0.29816,0.99847,+0.29816,0.34947,+0.29816,0.34947,1,0,0
72,1775827761.0398,+0.41396,0.99877,+0.41396,0.34957,+0.41396,0.34957,1,0,0
73,1775827761.1526,+0.48490,0.99877,+0.48490,0.34957,+0.48490,0.34957,1,0,0
74,1775827761.2748,+0.36855,0.99819,+0.36855,0.34937,+0.36855,0.34937,1,0,0
75,1775827761.3918,-0.07295,0.99623,-0.07295,0.34868,-0.07295,0.34868,1,0,0
76,1775827761.5446,-0.44900,0.99701,-0.44900,0.34895,-0.44900,0.34895,1,0,0
77,1775827761.6953,-0.46604,0.99866,-0.46604,0.34953,-0.46604,0.34953,1,0,0
78,1775827761.8503,-0.41593,0.99862,-0.41593,0.34952,-0.41593,0.34952,1,0,0
79,1775827761.9991,-0.19617,0.99855,-0.19617,0.34949,-0.19617,0.34949,1,0,0
80,1775827762.1769,+0.02679,0.99853,+0.02679,0.34949,+0.02679,0.34949,1,0,0
81,1775827762.3198,+0.05928,0.99847,+0.05928,0.34946,+0.05928,0.34946,1,0,0
82,1775827762.4572,+0.06243,0.99856,+0.06243,0.34950,+0.06243,0.34950,1,0,0
83,1775827762.6427,+0.01299,0.99825,+0.01299,0.34939,+0.01299,0.34939,1,0,0
84,1775827762.7944,+0.00601,0.99838,+0.00601,0.34943,+0.00601,0.34943,1,0,0
85,1775827762.9417,+0.01653,0.99851,+0.01653,0.34948,+0.01653,0.34948,1,0,0
86,1775827763.0725,+0.01569,0.99839,+0.01569,0.34943,+0.01569,0.34943,1,0,0
87,1775827763.2148,+0.03280,0.99786,+0.03280,0.34925,+0.03280,0.34925,1,0,0
88,1775827763.3601,+0.03407,0.99829,+0.03407,0.34940,+0.03407,0.34940,1,0,0
89,1775827763.4791,+0.02426,0.99851,+0.02426,0.34948,+0.02426,0.34948,1,0,0
90,1775827763.5962,-0.01585,0.99837,-0.01585,0.34943,-0.01585,0.34943,1,0,0
91,1775827763.7399,-0.03913,0.99784,-0.03913,0.34924,-0.03913,0.34924,1,0,0
92,1775827763.9237,-0.01494,0.99778,-0.01494,0.34922,-0.01494,0.34922,1,0,0
93,1775827764.0960,-0.04986,0.99696,-0.04986,0.34894,-0.04986,0.34894,1,0,0
94,1775827764.2370,-0.21121,0.99711,-0.21121,0.34899,-0.21121,0.34899,1,0,0
95,1775827764.3757,-0.20253,0.99765,-0.20253,0.34918,-0.20253,0.34918,1,0,0
96,1775827764.5559,-0.59179,0.99989,-0.59179,0.34996,-0.59179,0.34996,1,0,0
97,1775827764.6726,-0.64180,0.99986,-0.64180,0.34995,-0.64180,0.34995,1,0,0
98,1775827764.7884,-0.81208,0.99992,-0.81208,0.34997,-0.81208,0.34997,1,0,0
99,1775827764.9412,-0.96820,0.99965,-0.96820,0.34988,-0.96820,0.34988,1,0,0
100,1775827765.1130,-0.98386,0.99906,-0.98386,0.34967,-0.98386,0.34967,1,0,0
101,1775827765.2426,-0.98979,0.99922,-0.98979,0.34973,-0.98979,0.34973,1,0,0
102,1775827765.3720,-0.98779,0.99883,-0.98779,0.34959,-0.98779,0.34959,1,0,0
